,female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,yrsed,incomehi,log_earnings
0,0,0,0,39.15000153,1,0,1,1,6.199999809,8.090000153,0.200000003,0.889150023,12,1,9.457947677
1,1,0,0,48.86999893,0,0,1,1,6.199999809,8.090000153,0.200000003,0.889150023,12,0,10.68833568
2,0,0,0,48.74000168,0,0,1,1,6.199999809,8.090000153,0.200000003,0.889150023,12,0,10.04239972
3,0,1,0,40.40000153,0,0,1,1,6.199999809,8.090000153,0.200000003,0.889150023,12,0,9.592518183
4,1,0,0,40.47999954,0,0,0,1,5.599999905,8.090000153,0.400000006,0.889150023,13,0,12.06764373
5,0,0,0,54.70999908,0,0,1,1,5.599999905,8.090000153,0.400000006,0.889150023,12,0,10.01576991
6,1,0,0,56.06999969,0,0,1,0,7.199999809,8.850000381,0.400000006,0.84987998,13,0,9.657199317
7,1,0,0,54.84999847,0,0,1,0,7.199999809,8.850000381,0.400000006,0.84987998,15,0,10.34913261
8,0,0,0,64.73999786,1,0,1,1,5.900000095,8.090000153,3,0.889150023,13,0,10.25306964
9,1,0,0,56.06000137,0,0,1,1,5.900000095,8.090000153,3,0.889150023,15,0,10.6367797
10,1,0,0,42.22000122,0,0,1,1,5.900000095,8.090000153,3,0.889150023,12,1,9.965083826
11,1,1,0,61.18000031,0,1,1,1,5.900000095,8.090000153,3,0.889150023,14,1,10.17109194
12,0,0,0,59.84999847,0,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,15,0,11.13881691
13,1,0,0,58.77000046,1,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,17,1,11.77106732
14,1,1,0,53.72000122,1,1,1,0,7.199999809,8.850000381,0.100000001,0.84987998,14,0,11.04585432
15,0,0,0,61.52000046,0,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,15,0,9.789342511
16,1,0,0,52.52999878,0,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,12,1,10.81443139
17,1,0,0,45.00999832,0,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,12,0,9.343743226
18,1,0,0,57.70999908,0,0,1,0,7.199999809,8.850000381,0.100000001,0.84987998,16,0,11.0587814
19,1,0,0,59.36000061,1,1,1,0,7.199999809,8.850000381,0.100000001,0.84987998,16,1,10.34724946
20,1,0,0,50.93000031,0,0,1,0,7.699999809,7.039999962,0.5,0.902999997,13,0,9.855675595
21,0,0,0,59.56000137,1,0,1,0,7.699999809,7.039999962,0.5,0.902999997,14,1,10.53201928
22,0,0,0,58.45999908,1,1,1,0,7.699999809,7.039999962,0.5,0.902999997,13,0,9.318501917
23,1,0,0,55.70000076,0,0,0,0,7.699999809,7.039999962,0.5,0.902999997,16,0,11.12749424
24,0,0,0,60.81000137,0,0,1,0,7.699999809,7.039999962,0.5,0.902999997,15,0,10.88801011
25,1,1,0,40.59999847,0,0,1,0,5.400000095,8.850000381,0.899999976,0.84987998,12,0,10.86627004
26,1,0,0,49.99000168,0,0,1,0,5.400000095,8.850000381,0.899999976,0.84987998,12,0,10.21401385
27,0,0,0,59.68999863,0,0,1,1,5.099999905,8.850000381,0.5,0.84987998,15,0,10.73360359
28,0,0,0,60.33000183,0,0,1,1,5.099999905,8.850000381,0.5,0.84987998,16,0,12.43227426
29,1,0,0,60.13999939,1,0,1,1,5.099999905,8.850000381,0.5,0.84987998,12,1,10.2766841
