Year,tempc_mean,tempc_std,disasters_mean,disasters_std
1953,12.96,4.43,0.16,0.36
1954,12.88,4.71,0.21,0.4
1955,12.22,4.78,0.27,0.59
1956,12.39,4.84,0.22,0.58
1957,12.26,4.73,0.4,0.53
1958,11.6,4.32,0.13,0.33
1959,12.17,4.57,0.19,0.39
1960,11.56,4.47,0.29,0.5
1961,11.85,4.35,0.37,0.48
1962,11.89,4.72,0.34,0.57
1963,11.93,4.45,0.47,0.58
1964,12.12,4.58,0.35,0.53
1965,12.01,4.87,0.24,0.45
1966,11.58,4.47,0.04,0.19
1967,11.77,4.64,0.05,0.22
1968,11.63,4.31,0.02,0.16
1969,11.62,4.56,0.15,0.38
1970,11.88,4.57,0.06,0.24
1971,12.07,4.74,0.06,0.28
1972,11.69,4.95,0.16,0.38
1973,12.45,4.35,0.37,0.79
1974,12.22,4.62,0.16,0.39
1975,12.09,4.67,0.13,0.36
1976,11.59,4.28,0.36,1.33
1977,12.26,4.48,0.32,0.55
1978,11.38,4.72,0.1,0.31
1979,11.31,4.61,0.2,0.5
1980,12.13,4.55,0.08,0.28
1981,12.31,4.22,0.05,0.26
1982,11.86,4.91,0.06,0.24
1983,11.94,4.18,0.08,0.3
1984,12.15,4.59,0.13,0.47
1985,11.83,4.88,0.2,0.73
1986,12.78,4.62,0.12,0.33
1987,12.83,3.99,0.15,0.52
1988,12.2,4.23,0.16,0.41
1989,11.78,4.64,0.13,0.37
1990,13.14,4.58,0.2,0.41
1991,12.93,4.47,0.16,0.41
1992,12.17,4.41,0.17,0.57
1993,11.73,4.77,0.55,1.07
1994,12.38,4.59,0.44,0.85
1995,12.28,4.59,0.19,0.44
1996,11.72,4.88,5.04,14.73
1997,12.01,4.52,0.33,0.74
1998,13.63,4.43,3.43,9.14
1999,13.16,4.41,0.38,0.74
2000,12.58,4.53,0.26,0.54
2001,12.92,4.28,0.26,0.48
2002,12.82,4.43,0.27,0.61
2003,12.42,4.45,0.41,0.65
2004,12.64,4.52,0.54,0.81
2005,12.96,4.38,1.52,0.98
2006,13.34,4.35,0.3,0.54
2007,13.0,4.47,0.33,0.63
2008,12.17,4.76,0.66,0.91
2009,12.19,4.76,0.5,0.79
2010,12.65,4.27,0.42,0.75
2011,12.93,4.76,0.76,0.97
2012,13.97,4.3,0.28,0.61
2013,12.17,4.64,0.38,0.72
2014,11.87,4.68,0.15,0.38
2015,13.19,4.46,0.24,0.53
2016,13.71,4.41,0.3,0.59
2017,13.49,4.65,0.48,0.86
2018,12.84,4.74,0.3,0.6
