state,year,incidentType,fips,statewide
MA,1953,Tornado,25000,True
MI,1953,Tornado,26000,True
TX,1953,Tornado,48000,True
MI,1953,Tornado,26000,True
GA,1953,Tornado,13000,True
LA,1953,Flood,22000,True
TX,1953,Flood,48000,True
MT,1953,Flood,30000,True
NH,1953,Fire,33000,True
SD,1954,Flood,46000,True
NV,1954,Earthquake,32000,True
RI,1954,Hurricane,44000,True
TX,1954,Flood,48000,True
MS,1954,Tornado,28000,True
WV,1954,Flood,54000,True
FL,1954,Flood,12000,True
AK,1954,Other,02000,True
GA,1954,Tornado,13000,True
IA,1954,Flood,19000,True
ME,1954,Hurricane,23000,True
NM,1955,Flood,35000,True
CA,1954,Flood,06000,True
CT,1954,Hurricane,09000,True
NY,1955,Hurricane,36000,True
HI,1955,Volcano,15000,True
CO,1955,Flood,08000,True
IA,1953,Flood,19000,True
SC,1955,Hurricane,45000,True
MA,1954,Hurricane,25000,True
IN,1955,Flood,18000,True
NC,1955,Hurricane,37000,True
KS,1955,Tornado,20000,True
NC,1955,Hurricane,37000,True
AK,1955,Other,02000,True
CT,1955,Hurricane,09000,True
OK,1955,Flood,40000,True
NJ,1955,Hurricane,34000,True
NV,1955,Flood,32000,True
PA,1955,Flood,42000,True
NM,1955,Flood,35000,True
SC,1955,Hurricane,45000,True
RI,1955,Hurricane,44000,True
CA,1956,Flood,06000,True
MA,1955,Hurricane,25000,True
AK,1956,Other,02000,True
NY,1955,Hurricane,36000,True
OR,1956,Flood,41000,True
NV,1956,Flood,32000,True
WA,1956,Flood,53000,True
PA,1956,Flood,42000,True
NY,1956,Flood,36000,True
OK,1956,Tornado,40000,True
MI,1956,Tornado,26000,True
NC,1956,Severe Storm(s),37000,True
ID,1956,Flood,16000,True
OH,1956,Other,39000,True
PA,1956,Severe Storm(s),42000,True
NV,1956,Flood,32000,True
PA,1956,Severe Storm(s),42000,True
CO,1956,Flood,08000,True
PR,1956,Hurricane,72000,True
LA,1957,Hurricane,22000,True
OR,1956,Flood,41000,True
CA,1957,Fire,06000,True
WV,1957,Flood,54000,True
OR,1957,Flood,41000,True
IL,1957,Flood,17000,True
HI,1957,Other,15000,True
OK,1957,Flood,40000,True
ID,1957,Flood,16000,True
WA,1957,Flood,53000,True
VA,1957,Flood,51000,True
AR,1957,Tornado,05000,True
KY,1957,Flood,21000,True
LA,1957,Hurricane,22000,True
MO,1957,Tornado,29000,True
CA,1958,Flood,06000,True
TX,1957,Hurricane,48000,True
ND,1957,Tornado,38000,True
MN,1957,Flood,27000,True
AR,1958,Flood,05000,True
LA,1958,Flood,22000,True
HI,1959,Hurricane,15000,True
TX,1958,Tornado,48000,True
PA,1959,Flood,42000,True
IN,1959,Flood,18021,False
OH,1959,Flood,39000,True
KS,1959,Flood,20000,True
NC,1958,Hurricane,37000,True
KS,1957,Flood,20000,True
OK,1959,Flood,40000,True
IA,1958,Flood,19000,True
TX,1959,Flood,48000,True
NE,1960,Flood,31000,True
FL,1960,Other,12000,True
OK,1960,Flood,40000,True
HI,1960,Earthquake,15000,True
SD,1960,Flood,46000,True
HI,1960,Other,15000,True
MO,1960,Flood,29000,True
AR,1960,Tornado,05000,True
TX,1960,Severe Storm(s),48000,True
NC,1960,Hurricane,37000,True
FL,1960,Hurricane,12000,True
ID,1960,Fire,16000,True
